party_name,candidate_name,candidate_id,deputy_name,has_details,detail_url
MOVIMIENTO CIUDADANO,BEATRIZ RAMIREZ HINOJOSA,10487,ANA ELENA NAVA JUAREZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10487
MOVIMIENTO CIUDADANO,HECTOR JESUS NIEVES HERNANDEZ,10491,FRANCISCO MEDINA ACEVES,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10491
MOVIMIENTO CIUDADANO,PATSI VANESSA TISCAREÑO HERNANDEZ,10493,ANGELES PAMELA GUTIERREZ GARCIA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10493
MOVIMIENTO CIUDADANO,JOSE LUIS MARTINEZ ESQUERRA,10495,VICTOR BASILIO LICONA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10495
MOVIMIENTO CIUDADANO,MARGARITA BAHENA OCAMPO,10505,MA.DUINA PEÑA GUTIERREZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10505
MOVIMIENTO CIUDADANO,JUAN EMILIO BELLO ROMERO,10525,VICTOR GERARDO ARMENDARIZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10525
MOVIMIENTO CIUDADANO,NORMA TAGLE MARROQUIN,10535,NORMA JUDITH SANCHEZ FLORES,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10535
MOVIMIENTO CIUDADANO,MIGUEL OSBALDO JIMENEZ SANTAMARIA,10677,VALERIO RAMIREZ NIETO,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10677
MOVIMIENTO CIUDADANO,MARIA DEL PILAR SOLORZANO BERNAL,10679,MARIBELL DE LA PAZ FLORES,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10679
MOVIMIENTO CIUDADANO,FERNANDO VALERO ORTIZ,10683,EDUARDO JIMENEZ SANCHEZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10683
NUEVA ALIANZA,GABRIEL RICARDO QUADRI DE LA TORRE,10119,ORLANDO RAFAEL REYES GOMEZ GALVAN,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10119
NUEVA ALIANZA,EDDA ALEJANDRA BEATRIZ MORENO Y TOSCANO,10127,MARIA ANGELICA NADURILLE ALVAREZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10127
NUEVA ALIANZA,FELIX EUGENIO SANCHEZ AGUILAR,10131,MARCOS CONSTANTINO GONZALEZ ALCOCER,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10131
NUEVA ALIANZA,HILDA OLIVIA PEREZ RAMIREZ,10137,LAURA VARGAS ARTEAGA,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10137
NUEVA ALIANZA,FADALALA AKABANI HNEIDE,10141,NOE HERNANDEZ DIAZ,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10141
NUEVA ALIANZA,AMALIA BIO JIMENEZ,10145,DULCE MARIA VARGAS MILLAN,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10145
NUEVA ALIANZA,OSCAR MORENO RAMOS,10149,IÑIGO GONZALEZ DE COSIO CORREDOR,True,https://portalanterior.ine.mx/archivos2/portal/Elecciones/2016/PELocales/tipo/unica/CdMex/CandidatasyCandidatos/detalle.html#!/Candidato/10149
